Фамилия,Имя,Пол,Возраст,Рост,Город,Должность,Зарплата,Транспорт
Алихкбяров,Александр,муж,22,185,Владимир,директор предприятия,60000,да
Алияскарова,Анастасия,жен,38,183,Владимир,инженер,250000,да
Аллакина,Евгения,жен,47,171,Омск,бухгалтер,40000,да
Алмпиев,Андрей,муж,18,160,Мурманск,бухгалтер,500000,да
Алпашиков,Михаил,муж,27,156,Владимир,учитель,100000,нет
Алтаев,Максим,муж,47,156,Ачинск,бухгалтер,60000,да
Алтуков,Сергей,муж,45,159,Омск,конструктор,250000,нет
Алуев,Максим,муж,37,185,Москва,руководитель группы,45000,да
Алушкова,Мария,жен,30,182,Мурманск,инженер,400000,нет
Алфосова,Анна,жен,23,188,Рязань,директор предприятия,500000,нет
Алшантова,Евгения,жен,25,183,Ачинск,директор предприятия,150000,нет
Алыпов,Василий,муж,20,176,Омск,конструктор,50000,да
Альдухова,Диана,жен,33,164,Казань,конструктор,250000,да
Альмурзаев,Антон,муж,42,179,Москва,кондитер,250000,да
Альферов,Сергей,муж,25,166,Казань,бухгалтер,90000,да
Альшаков,Василий,муж,59,172,Рязань,ведущий инженер,45000,нет
Альшина,Дарья,жен,29,172,Ачинск,директор предприятия,350000,да
Алючкина,Ольга,жен,58,179,Калининград,кондитер,90000,нет
Алявдова,Юлия,жен,52,176,Ачинск,конструктор,35000,нет
Аляутдинов,Михаил,муж,56,184,Омск,руководитель группы,400000,нет
Амаева,Анна,жен,31,170,Калининград,инженер,400000,нет
Амарантова,Анастасия,жен,21,185,Владимир,учитель,300000,да
Амбалов,Василий,муж,24,179,Рязань,ведущий инженер,40000,да
Амеленкова,Дарья,жен,25,175,Уфа,руководитель группы,50000,нет
Аметистова,Евгения,жен,45,163,Владимир,кондитер,50000,нет
Ампилогов,Андрей,муж,38,160,Ачинск,конструктор,45000,нет
Амченцева,Мария,жен,26,187,Санкт-Петербург,руководитель группы,700000,да
Анакина,Анастасия,жен,43,178,Калининград,бухгалтер,700000,нет
Ангегов,Пётр,муж,44,176,Казань,учитель,90000,нет
Андианова,Марина,жен,25,184,Санкт-Петербург,директор предприятия,500000,да
Андреанов,Максим,муж,38,157,Калининград,инженер,20000,нет
Андреянов,Андрей,муж,49,161,Уфа,бухгалтер,90000,да
Андрианичева,Марина,жен,34,158,Уфа,кондитер,90000,да
Андрисов,Александр,муж,25,173,Владимир,конструктор,400000,нет
Андрияшкина,Диана,жен,19,168,Уфа,инженер,600000,нет
Андроханова,Марина,жен,37,162,Уфа,инженер,700000,нет
Андрюков,Василий,муж,34,182,Калининград,директор предприятия,100000,да
Андрюткина,Юлия,жен,27,174,Рязань,директор предприятия,250000,нет
Аниенков,Александр,муж,38,161,Рязань,руководитель группы,500000,да
Анимов,Александр,муж,57,156,Казань,кондитер,25000,да
Анисомов,Максим,муж,41,178,Омск,бухгалтер,80000,да
Аничков,Сергей,муж,27,176,Ачинск,бухгалтер,45000,нет
Аноприкова,Дарья,жен,46,188,Казань,конструктор,20000,нет
Анофрикова,Дарья,жен,31,177,Москва,кондитер,70000,да
Ансерова,Диана,жен,47,170,Москва,учитель,800000,нет
Антиков,Василий,муж,24,184,Ачинск,руководитель группы,30000,нет
Антипенков,Пётр,муж,39,167,Калининград,учитель,100000,нет
Антипычев,Сергей,муж,36,172,Москва,конструктор,80000,нет
Антоничев,Антон,муж,43,161,Казань,ведущий инженер,900000,да
Антонюшенков,Михаил,муж,48,169,Калининград,ведущий инженер,200000,да
Антощенков,Максим,муж,55,167,Санкт-Петербург,бухгалтер,40000,да
Антюреев,Александр,муж,45,162,Ачинск,директор предприятия,350000,да
Ануреев,Сергей,муж,21,186,Калининград,директор предприятия,80000,нет
Ануферова,Ольга,жен,52,177,Ачинск,директор предприятия,80000,нет
Анфилофьева,Диана,жен,44,176,Рязань,ведущий инженер,80000,да
Анциборов,Никита,муж,27,164,Калининград,директор предприятия,300000,да
Анциферов,Андрей,муж,25,162,Калининград,ведущий инженер,300000,да
Анцыферова,Марина,жен,27,172,Рязань,кондитер,200000,нет
Апакова,Анна,жен,27,177,Рязань,кондитер,200000,нет
Апанов,Василий,муж,59,168,Москва,инженер,800000,нет
Апарчева,Юлия,жен,47,185,Омск,учитель,35000,да
Апексимова,Кристина,жен,47,187,Омск,бухгалтер,500000,нет
Апкина,Дарья,жен,31,182,Санкт-Петербург,кондитер,35000,нет
Аппазова,Анастасия,жен,22,186,Уфа,директор предприятия,350000,нет
Апрелова,Марина,жен,36,176,Москва,кондитер,150000,да
Апрятина,Анастасия,жен,40,175,Санкт-Петербург,инженер,60000,нет
Аптеков,Максим,муж,25,172,Омск,кондитер,350000,да
Арамилев,Антон,муж,39,177,Владимир,инженер,50000,да
Арбузкина,Юлия,жен,51,183,Казань,конструктор,900000,нет
Аргакова,Марина,жен,58,163,Владимир,директор предприятия,35000,да
Арефьев,Антон,муж,53,186,Ачинск,руководитель группы,600000,да
Арзяев,Андрей,муж,33,177,Омск,ведущий инженер,20000,да
Арипина,Ольга,жен,20,161,Калининград,конструктор,100000,да
Арифов,Александр,муж,56,187,Казань,кондитер,500000,нет
Аркатов,Андрей,муж,37,172,Калининград,инженер,700000,нет
Армаганов,Максим,муж,24,179,Калининград,руководитель группы,25000,да
Армина,Анна,жен,38,176,Владимир,бухгалтер,90000,да
Арсаносова,Юлия,жен,58,173,Уфа,руководитель группы,20000,да
Арсенова,Дарья,жен,54,164,Владимир,кондитер,200000,нет
Артамасова,Юлия,жен,55,168,Ачинск,учитель,350000,да
Артамонцева,Кристина,жен,45,172,Калининград,кондитер,40000,нет
Артикулов,Андрей,муж,43,182,Москва,инженер,150000,нет
Арутчев,Сергей,муж,39,163,Омск,конструктор,60000,да
Архимандритова,Ольга,жен,20,177,Казань,инженер,35000,нет
Архипчева,Анастасия,жен,23,165,Калининград,инженер,400000,нет
Арцибашова,Анна,жен,21,184,Ачинск,учитель,50000,нет
Арчебасова,Ольга,жен,29,170,Рязань,инженер,20000,нет
Аршава,Анастасия,жен,57,162,Казань,директор предприятия,150000,нет
Арюшина,Евгения,жен,52,182,Москва,ведущий инженер,200000,нет
Асадова,Марина,жен,28,181,Владимир,конструктор,25000,нет
Асалина,Марина,жен,45,162,Омск,ведущий инженер,70000,нет
Асенов,Василий,муж,22,183,Уфа,кондитер,60000,нет
Асиянцев,Сергей,муж,30,184,Санкт-Петербург,директор предприятия,200000,да
Асминина,Мария,жен,27,168,Уфа,ведущий инженер,80000,нет
Астаюва,Диана,жен,23,174,Казань,инженер,40000,нет
Астоликина,Мария,жен,48,171,Калининград,директор предприятия,500000,нет
Асханова,Анна,жен,26,174,Калининград,учитель,40000,да
Асяева,Юлия,жен,34,184,Санкт-Петербург,конструктор,40000,да
Атарщикова,Юлия,жен,19,168,Рязань,ведущий инженер,30000,да
Аткина,Мария,жен,32,162,Калининград,учитель,700000,да
Атлеснов,Никита,муж,23,178,Рязань,инженер,45000,да
Атрамонова,Кристина,жен,36,163,Владимир,бухгалтер,100000,нет
Атрошина,Евгения,жен,40,188,Мурманск,бухгалтер,35000,да
Атутова,Анастасия,жен,30,187,Мурманск,инженер,35000,да
Атякшев,Пётр,муж,37,184,Мурманск,конструктор,35000,да
Аушников,Пётр,муж,31,184,Рязань,бухгалтер,70000,нет
Аферова,Диана,жен,20,167,Санкт-Петербург,инженер,30000,да
Афицерова,Анастасия,жен,24,155,Рязань,учитель,300000,нет
Афоникова,Евгения,жен,26,166,Москва,руководитель группы,90000,нет
Афродитов,Никита,муж,43,170,Владимир,учитель,40000,нет
Ахакочкина,Евгения,жен,52,175,Санкт-Петербург,кондитер,150000,нет
Ахантьев,Сергей,муж,56,185,Омск,конструктор,350000,да
Ахба,Марина,жен,37,174,Рязань,руководитель группы,700000,нет
Ахлакова,Анастасия,жен,50,175,Ачинск,учитель,500000,да
Ахляров,Михаил,муж,33,165,Ачинск,бухгалтер,50000,да
Ахматнурова,Марина,жен,23,160,Санкт-Петербург,конструктор,45000,нет
Ахмедьянов,Василий,муж,41,183,Казань,кондитер,25000,да
Ахметжанов,Василий,муж,48,177,Казань,бухгалтер,300000,да
Ахренова,Мария,жен,39,179,Калининград,инженер,900000,да
Ахсанов,Василий,муж,19,173,Мурманск,ведущий инженер,150000,да
Ацамба,Ольга,жен,32,155,Казань,инженер,20000,нет
Ашеров,Андрей,муж,46,155,Рязань,руководитель группы,250000,да
Ашифина,Диана,жен,31,158,Москва,конструктор,600000,да
Ашманова,Марина,жен,45,186,Омск,директор предприятия,80000,да
Ашмянцева,Ольга,жен,37,160,Владимир,бухгалтер,35000,нет
Ашряпов,Михаил,муж,36,176,Калининград,кондитер,800000,нет
Ашуркова,Евгения,жен,35,164,Омск,бухгалтер,80000,да
Аюшкова,Юлия,жен,22,187,Ачинск,директор предприятия,350000,нет
Бабарыка,Ольга,жен,26,173,Уфа,конструктор,45000,нет
Бабашев,Василий,муж,33,186,Санкт-Петербург,инженер,600000,да
Бабеева,Анастасия,жен,54,166,Ачинск,ведущий инженер,250000,да
Бабикова,Мария,жен,57,155,Рязань,руководитель группы,500000,да
Бабминдра,Анна,жен,53,155,Казань,конструктор,300000,нет
Бабуев,Антон,муж,18,155,Уфа,бухгалтер,70000,нет
Бабякина,Марина,жен,43,179,Омск,ведущий инженер,20000,да
Багатов,Сергей,муж,19,172,Омск,учитель,800000,нет
Багларова,Мария,жен,38,165,Уфа,инженер,300000,да
Багонина,Диана,жен,51,171,Казань,руководитель группы,900000,нет
Багренина,Мария,жен,18,162,Мурманск,бухгалтер,250000,нет
Баденцова,Ольга,жен,25,180,Санкт-Петербург,инженер,350000,нет
Бадилова,Анастасия,жен,25,183,Уфа,ведущий инженер,60000,нет
Бадирова,Диана,жен,20,181,Санкт-Петербург,инженер,150000,да
Бадуев,Максим,муж,24,161,Санкт-Петербург,кондитер,35000,да
Бадуров,Пётр,муж,29,173,Уфа,ведущий инженер,300000,да
Баженичева,Дарья,жен,41,174,Ачинск,руководитель группы,200000,да
Бажутова,Дарья,жен,27,174,Мурманск,инженер,60000,нет
Базакина,Анна,жен,55,182,Москва,конструктор,350000,да
Базарбаева,Марина,жен,42,156,Уфа,бухгалтер,70000,да
Баззаев,Сергей,муж,50,187,Уфа,директор предприятия,100000,да
Базлеев,Василий,муж,48,171,Рязань,учитель,900000,нет
Базулов,Михаил,муж,26,184,Владимир,инженер,20000,нет
Базуткина,Диана,жен,39,170,Ачинск,кондитер,700000,да
Баитова,Анна,жен,55,166,Владимир,конструктор,80000,да
Байбородова,Евгения,жен,33,177,Уфа,конструктор,45000,нет
Байгуттуев,Александр,муж,21,163,Рязань,кондитер,45000,да
Баймашова,Анна,жен,24,172,Омск,кондитер,800000,нет
Байчева,Диана,жен,24,182,Санкт-Петербург,ведущий инженер,400000,нет
Бакалдина,Диана,жен,57,164,Рязань,конструктор,45000,да
Баканчиков,Михаил,муж,35,189,Мурманск,кондитер,700000,да
Баккасова,Диана,жен,20,182,Владимир,бухгалтер,200000,да
Баклева,Ольга,жен,30,172,Санкт-Петербург,инженер,250000,да
Баксарова,Диана,жен,54,177,Калининград,руководитель группы,20000,да
Бакулев,Антон,муж,49,180,Омск,директор предприятия,250000,нет
Балабекова,Дарья,жен,27,160,Москва,бухгалтер,60000,нет
Балагура,Евгения,жен,51,182,Мурманск,директор предприятия,600000,нет
Балакерева,Анна,жен,27,167,Рязань,кондитер,35000,да
Баландов,Максим,муж,18,169,Ачинск,учитель,200000,нет
Балатанов,Андрей,муж,34,165,Омск,конструктор,900000,да
Балахина,Диана,жен,40,179,Владимир,инженер,200000,нет
Балашова-голубева,Дарья,жен,27,169,Мурманск,инженер,800000,да
Балдуженкова,Дарья,жен,26,180,Ачинск,инженер,350000,нет
Балейкина,Анна,жен,33,157,Санкт-Петербург,ведущий инженер,400000,нет
Балмашева,Марина,жен,38,164,Уфа,инженер,150000,нет
Балтина,Анна,жен,21,162,Москва,руководитель группы,800000,нет
Балунов,Антон,муж,37,177,Санкт-Петербург,кондитер,300000,нет
Бальшакова,Марина,жен,39,183,Владимир,кондитер,40000,нет
Балясов,Никита,муж,30,183,Мурманск,бухгалтер,60000,да
Баморина,Мария,жен,50,169,Санкт-Петербург,директор предприятия,100000,да
Банзанова,Анастасия,жен,19,186,Ачинск,бухгалтер,40000,нет
Бантюкова,Евгения,жен,30,172,Рязань,бухгалтер,300000,нет
Барабанцев,Антон,муж,34,161,Мурманск,учитель,800000,нет
Бараненкова,Юлия,жен,39,172,Омск,кондитер,80000,нет
Барашенков,Антон,муж,46,174,Владимир,инженер,700000,нет
Барбанова,Диана,жен,25,170,Рязань,инженер,50000,да
Барбаянов,Антон,муж,34,178,Владимир,ведущий инженер,90000,нет
Барбунов,Пётр,муж,41,167,Москва,конструктор,900000,нет
Барденкова,Анна,жен,52,169,Владимир,бухгалтер,20000,нет
Бардонов,Сергей,муж,30,181,Омск,ведущий инженер,45000,да
Бардыгула,Мария,жен,34,160,Мурманск,бухгалтер,80000,нет
Барива,Анна,жен,57,160,Калининград,руководитель группы,700000,нет
Баринова,Ольга,жен,46,170,Рязань,учитель,70000,да
Барисов,Сергей,муж,33,185,Владимир,ведущий инженер,100000,нет
Барлинкова,Мария,жен,34,177,Калининград,учитель,600000,нет
Барлинкова,Ольга,жен,51,186,Калининград,учитель,25000,да
Бармашов,Пётр,муж,25,183,Калининград,учитель,30000,нет
Барнаулов,Михаил,муж,42,165,Омск,учитель,30000,да
Барнохаджаева,Кристина,жен,56,184,Казань,конструктор,350000,нет
Баронникова,Евгения,жен,35,166,Москва,ведущий инженер,800000,нет
Барскова,Дарья,жен,50,187,Рязань,кондитер,50000,нет
Бартеньева,Марина,жен,28,180,Владимир,инженер,150000,нет
Баруздина,Дарья,жен,58,182,Казань,кондитер,20000,да
Бархалова,Диана,жен,30,185,Владимир,ведущий инженер,150000,нет
Баршиков,Андрей,муж,23,163,Ачинск,инженер,20000,нет
Барышкина,Марина,жен,20,178,Уфа,руководитель группы,800000,да
Барянцева,Ольга,жен,24,174,Рязань,ведущий инженер,200000,нет
Басенкова,Ольга,жен,39,156,Уфа,кондитер,500000,нет
Басериков,Никита,муж,41,171,Рязань,кондитер,70000,нет
Батарина,Юлия,жен,37,168,Мурманск,бухгалтер,150000,да
Батетникова,Ольга,жен,44,167,Казань,бухгалтер,70000,да
Баткилина,Евгения,жен,27,175,Рязань,кондитер,20000,да
Батонов,Сергей,муж,46,179,Владимир,конструктор,700000,нет
Батранов,Андрей,муж,25,185,Казань,руководитель группы,200000,нет
Батруков,Пётр,муж,29,170,Санкт-Петербург,ведущий инженер,500000,нет
Батухина,Юлия,жен,50,182,Уфа,инженер,20000,да
Батыев,Александр,муж,55,177,Казань,инженер,80000,нет
Батьканов,Сергей,муж,45,171,Ачинск,директор предприятия,900000,нет
Баулова,Анастасия,жен,49,161,Мурманск,учитель,35000,нет
Бафетров,Александр,муж,43,163,Москва,директор предприятия,800000,да
Бахиров,Антон,муж,46,186,Калининград,конструктор,45000,да
Бахмурова,Ольга,жен,28,161,Ачинск,конструктор,350000,нет
Бахорева,Мария,жен,36,171,Уфа,инженер,25000,да
Бахтерова,Мария,жен,55,189,Казань,инженер,60000,нет
Бахтояров,Андрей,муж,34,159,Омск,директор предприятия,600000,нет
Бахтюрина,Мария,жен,50,174,Мурманск,кондитер,700000,нет
Бахшалиев,Максим,муж,28,169,Рязань,директор предприятия,40000,да
Бацурова,Дарья,жен,37,180,Ачинск,кондитер,30000,да
Бачаров,Михаил,муж,32,157,Рязань,инженер,40000,да
Башев,Александр,муж,53,171,Москва,конструктор,200000,да
Башиев,Никита,муж,33,187,Уфа,ведущий инженер,90000,нет
Башкотов,Андрей,муж,22,161,Москва,бухгалтер,50000,да
Башоров,Никита,муж,41,163,Калининград,ведущий инженер,90000,нет
Бега,Анастасия,жен,24,185,Владимир,ведущий инженер,250000,да
Беглецов,Максим,муж,57,173,Ачинск,руководитель группы,60000,да
Бегулов,Пётр,муж,22,171,Санкт-Петербург,директор предприятия,300000,нет
Бегунова,Мария,жен,34,174,Калининград,конструктор,70000,нет
Бедренцева,Анастасия,жен,25,168,Москва,директор предприятия,200000,нет
Безгачева,Диана,жен,18,156,Уфа,ведущий инженер,500000,нет
Бездушев,Михаил,муж,48,188,Калининград,бухгалтер,350000,нет
Беззубцева,Дарья,жен,41,183,Мурманск,кондитер,45000,нет
Безкурникова,Мария,жен,57,168,Уфа,руководитель группы,40000,да
Безносенков,Максим,муж,24,177,Казань,руководитель группы,90000,нет
Безпалова,Ольга,жен,26,168,Владимир,ведущий инженер,20000,да
Безсчетнова,Ольга,жен,36,176,Москва,директор предприятия,150000,да
Беивкова,Диана,жен,51,184,Мурманск,конструктор,250000,да
Бейзерова,Евгения,жен,28,181,Владимир,ведущий инженер,700000,нет
Бейсембетова,Ольга,жен,33,180,Санкт-Петербург,кондитер,400000,да
Бекбоев,Сергей,муж,47,185,Рязань,руководитель группы,500000,нет
Бекеша,Кристина,жен,27,177,Владимир,конструктор,700000,да
Бекленищев,Василий,муж,18,184,Санкт-Петербург,бухгалтер,350000,да
Бекмементьева,Диана,жен,52,162,Санкт-Петербург,конструктор,700000,да
Бела,Юлия,жен,18,159,Мурманск,ведущий инженер,150000,да
Белаева,Мария,жен,46,174,Владимир,руководитель группы,200000,нет
Белашникова,Ольга,жен,37,169,Владимир,ведущий инженер,700000,да
Белая-иванова,Ольга,жен,49,184,Калининград,учитель,90000,нет
Белепдинова,Юлия,жен,37,176,Казань,ведущий инженер,45000,нет
Белитова,Мария,жен,49,158,Уфа,инженер,600000,нет
Белишкова,Анна,жен,25,159,Ачинск,учитель,400000,нет
Беловалова,Евгения,жен,40,187,Рязань,конструктор,400000,да
Белогородцев,Антон,муж,40,174,Москва,бухгалтер,35000,да
Белоедова,Кристина,жен,56,160,Мурманск,кондитер,35000,да
Белокрылина,Ольга,жен,44,176,Мурманск,бухгалтер,600000,да
Белолапаткова,Дарья,жен,24,173,Санкт-Петербург,учитель,250000,да
Белослюдов,Василий,муж,42,171,Рязань,конструктор,900000,да
Белохина,Кристина,жен,45,158,Омск,кондитер,700000,да
Белыева,Ольга,жен,37,175,Ачинск,бухгалтер,150000,да
Бельченков,Пётр,муж,36,178,Рязань,руководитель группы,350000,нет
Беляникова,Мария,жен,47,161,Мурманск,руководитель группы,50000,нет
Белясников,Никита,муж,34,186,Ачинск,директор предприятия,25000,нет
Бемидинов,Александр,муж,21,162,Уфа,директор предприятия,200000,да
Беонова,Ольга,жен,38,164,Москва,руководитель группы,20000,да
Бердешева,Юлия,жен,24,176,Мурманск,руководитель группы,20000,нет
Бердышева,Анастасия,жен,32,160,Санкт-Петербург,конструктор,45000,нет
Бередина,Ольга,жен,31,179,Санкт-Петербург,учитель,350000,нет
Берейкина,Диана,жен,33,157,Мурманск,руководитель группы,50000,да
Береснева,Юлия,жен,21,164,Уфа,ведущий инженер,40000,да
Берешкова,Марина,жен,29,167,Москва,инженер,50000,нет
Беринова,Анна,жен,55,168,Омск,бухгалтер,25000,нет
Беркина,Евгения,жен,36,185,Омск,директор предприятия,800000,да
Бернева,Марина,жен,41,170,Омск,конструктор,250000,нет
Беседкина,Дарья,жен,35,168,Уфа,руководитель группы,400000,нет
Бескибалова,Кристина,жен,43,162,Рязань,руководитель группы,50000,нет
Бескоронов,Никита,муж,39,165,Рязань,руководитель группы,90000,да
Бесплатнов,Василий,муж,53,171,Санкт-Петербург,кондитер,800000,да
Бессалицина,Кристина,жен,44,164,Москва,учитель,30000,нет
Бессолицина,Диана,жен,35,164,Калининград,бухгалтер,150000,да
Бесталова,Евгения,жен,26,171,Владимир,конструктор,900000,да
Бестужева,Диана,жен,25,168,Калининград,бухгалтер,350000,да
Бесхохлов,Василий,муж,55,186,Омск,руководитель группы,70000,нет
Бесякова,Анна,жен,31,162,Владимир,директор предприятия,700000,нет
Бетрединова,Диана,жен,36,165,Рязань,директор предприятия,100000,нет
Бехтина,Диана,жен,32,171,Омск,учитель,400000,нет
Бешкарев,Никита,муж,50,182,Владимир,кондитер,20000,да
Бешчева,Марина,жен,31,180,Москва,учитель,25000,да
Биатова,Евгения,жен,49,166,Рязань,руководитель группы,900000,нет
Бибилов,Антон,муж,25,179,Омск,руководитель группы,300000,да
Биглов,Антон,муж,45,185,Калининград,учитель,70000,да
Бидбайров,Сергей,муж,57,156,Санкт-Петербург,директор предприятия,600000,да
Бижаев,Антон,муж,35,174,Ачинск,конструктор,35000,нет
Бизина,Юлия,жен,41,176,Москва,инженер,350000,нет
Бизяков,Василий,муж,30,171,Ачинск,кондитер,250000,нет
Биксянтеев,Александр,муж,23,183,Ачинск,кондитер,25000,нет
Билярова,Анна,жен,34,173,Рязань,инженер,350000,нет
Бинов,Андрей,муж,45,176,Омск,конструктор,700000,да
Бирюков,Максим,муж,19,187,Калининград,директор предприятия,400000,да
