Фамилия,Имя,Пол,Возраст,Рост,Город,Должность,Зарплата,Транспорт
Аверченкова,Анна,жен,42,156,Казань,конструктор,200000,да
Авешников,Андрей,муж,45,170,Калининград,инженер,350000,нет
Авксентьева,Анна,жен,58,172,Рязань,руководитель группы,60000,да
Авлов,Михаил,муж,27,188,Казань,инженер,150000,да
Авсарапова,Диана,жен,57,180,Ачинск,руководитель группы,30000,нет
Автандилова,Дарья,жен,45,160,Омск,конструктор,80000,да
Автушкина,Кристина,жен,43,160,Москва,бухгалтер,50000,да
Агамирова,Анна,жен,54,188,Санкт-Петербург,директор предприятия,350000,да
Аганишова,Анна,жен,44,157,Казань,ведущий инженер,250000,нет
Агарев,Василий,муж,37,177,Казань,ведущий инженер,45000,да
Агафонцев,Михаил,муж,36,164,Калининград,директор предприятия,400000,нет
Агеенкова,Юлия,жен,51,163,Москва,инженер,400000,да
Агельяров,Пётр,муж,58,174,Калининград,руководитель группы,30000,да
Агнева,Евгения,жен,49,172,Рязань,кондитер,45000,да
Агопова,Анна,жен,34,164,Калининград,руководитель группы,250000,нет
Агранов,Василий,муж,27,185,Уфа,ведущий инженер,250000,да
Агроманова,Дарья,жен,38,188,Санкт-Петербург,директор предприятия,80000,нет
Агукина,Диана,жен,29,175,Калининград,директор предприятия,50000,нет
Агусулов,Василий,муж,26,178,Уфа,руководитель группы,25000,нет
Адама,Евгения,жен,34,155,Калининград,директор предприятия,350000,нет
Адамбаева,Диана,жен,33,177,Ачинск,учитель,250000,да
Адвокатова,Анастасия,жен,36,170,Владимир,кондитер,80000,нет
Аджинкова,Марина,жен,38,168,Владимир,инженер,300000,да
Адинагуева,Анастасия,жен,52,183,Уфа,руководитель группы,350000,нет
Адининскова,Марина,жен,41,164,Калининград,конструктор,600000,да
Адулов,Максим,муж,44,184,Казань,руководитель группы,900000,да
Ажажа,Ольга,жен,33,184,Казань,учитель,50000,нет
Ажовкова,Мария,жен,25,179,Москва,руководитель группы,500000,да
Азаничев,Сергей,муж,41,158,Владимир,конструктор,300000,да
Азаров,Андрей,муж,35,156,Омск,бухгалтер,45000,нет
Азгальдов,Пётр,муж,33,177,Калининград,инженер,400000,да
Азидов,Михаил,муж,26,185,Казань,директор предприятия,600000,нет
Азовцева,Ольга,жен,21,184,Мурманск,инженер,70000,да
Азранкина,Анастасия,жен,54,183,Москва,инженер,350000,нет
Аипов,Александр,муж,32,173,Рязань,руководитель группы,400000,нет
Айгунова,Анастасия,жен,34,171,Владимир,бухгалтер,500000,да
Аймашева,Ольга,жен,51,167,Рязань,руководитель группы,80000,нет
Айнетдинов,Пётр,муж,38,165,Ачинск,учитель,600000,нет
Айнулов,Михаил,муж,31,181,Санкт-Петербург,директор предприятия,30000,нет
Айриева,Диана,жен,57,166,Омск,инженер,700000,нет
Айшаева,Юлия,жен,31,181,Санкт-Петербург,конструктор,400000,да
Акафьев,Андрей,муж,23,165,Рязань,руководитель группы,150000,нет
Акбаров,Пётр,муж,42,189,Рязань,учитель,30000,нет
Акимочкина,Анна,жен,41,178,Калининград,ведущий инженер,350000,нет
Акишева,Диана,жен,47,163,Рязань,инженер,300000,да
Акищина,Дарья,жен,19,188,Владимир,учитель,900000,нет
Акольэина,Диана,жен,29,170,Москва,директор предприятия,90000,да
Акридов,Михаил,муж,30,162,Ачинск,бухгалтер,350000,да
Аксарова,Марина,жен,40,161,Рязань,учитель,80000,да
Аксентова,Юлия,жен,56,172,Уфа,директор предприятия,150000,нет
Аксютова,Анастасия,жен,21,179,Казань,директор предприятия,25000,да
Акудинова,Мария,жен,28,179,Мурманск,учитель,250000,нет
Акундинов,Александр,муж,40,166,Омск,кондитер,200000,нет
Акурова,Кристина,жен,26,175,Рязань,кондитер,700000,да
Алагызова,Евгения,жен,46,184,Уфа,директор предприятия,100000,да
Аландарова,Марина,жен,50,185,Москва,руководитель группы,45000,да
Албов,Максим,муж,43,157,Омск,ведущий инженер,600000,да
Алдабаев,Михаил,муж,21,167,Санкт-Петербург,директор предприятия,90000,да
Алебастров,Андрей,муж,50,186,Мурманск,кондитер,150000,нет
Алеенков,Андрей,муж,50,180,Омск,директор предприятия,60000,нет
Алексаночкина,Анастасия,жен,43,176,Мурманск,кондитер,400000,да
Алексеешина,Анастасия,жен,31,158,Москва,конструктор,70000,нет
Алексишев,Сергей,муж,50,175,Калининград,директор предприятия,50000,да
Аленева,Дарья,жен,42,184,Ачинск,бухгалтер,30000,нет
Аленичкина,Марина,жен,41,185,Владимир,кондитер,150000,нет
Алесенкоа,Ольга,жен,21,162,Мурманск,инженер,35000,да
Алешенков,Пётр,муж,56,174,Омск,директор предприятия,150000,да
Алешихева,Анна,жен,42,176,Владимир,руководитель группы,20000,да
Алибасова,Мария,жен,23,172,Санкт-Петербург,бухгалтер,70000,нет
Аликсандров,Михаил,муж,26,181,Калининград,руководитель группы,25000,нет
Алимичев,Никита,муж,23,183,Казань,кондитер,100000,да
Алимханова-измайлова,Ольга,жен,27,186,Рязань,директор предприятия,250000,нет
Алистратова,Кристина,жен,53,181,Москва,кондитер,25000,нет
Алихманова,Юлия,жен,46,168,Уфа,бухгалтер,60000,да
Алияров,Василий,муж,41,166,Санкт-Петербург,ведущий инженер,500000,да
Аллавердов,Максим,муж,43,184,Ачинск,ведущий инженер,100000,да
Алова,Марина,жен,21,160,Мурманск,инженер,900000,нет
Алпатова,Диана,жен,22,187,Санкт-Петербург,руководитель группы,20000,да
Алпысбаев,Пётр,муж,58,157,Мурманск,учитель,40000,нет
Алтухов,Василий,муж,34,163,Москва,конструктор,100000,да
Алтышов,Никита,муж,35,182,Москва,ведущий инженер,80000,нет
Алференков,Сергей,муж,26,166,Москва,бухгалтер,350000,да
Алхматова,Ольга,жен,58,184,Владимир,конструктор,300000,нет
Алымов,Пётр,муж,51,186,Калининград,инженер,250000,нет
Альбетков,Михаил,муж,19,185,Москва,конструктор,70000,да
Альмуков,Никита,муж,19,169,Санкт-Петербург,конструктор,20000,нет
Альнурова,Анастасия,жен,51,174,Мурманск,ведущий инженер,90000,нет
Альпина,Кристина,жен,43,158,Владимир,кондитер,45000,да
Альферов,Антон,муж,53,168,Мурманск,бухгалтер,40000,нет
Алюева,Мария,жен,27,164,Омск,директор предприятия,600000,нет
Алявдова,Евгения,жен,44,178,Калининград,директор предприятия,600000,нет
Амангалиева,Юлия,жен,56,168,Владимир,конструктор,250000,да
Амаюков,Пётр,муж,46,157,Ачинск,ведущий инженер,50000,нет
Амбурова,Евгения,жен,40,188,Владимир,учитель,30000,нет
Амельчева,Юлия,жен,25,177,Ачинск,учитель,700000,да
Аменберова,Юлия,жен,18,184,Ачинск,директор предприятия,90000,нет
Аметов,Александр,муж,23,184,Калининград,кондитер,400000,нет
Амзина,Диана,жен,37,159,Калининград,ведущий инженер,350000,да
Амирахова,Анастасия,жен,53,166,Ачинск,учитель,600000,нет
Амитиров-тургенев,Михаил,муж,44,172,Ачинск,инженер,150000,да
Амосенкова,Анастасия,жен,58,167,Санкт-Петербург,инженер,200000,нет
Амулов,Максим,муж,26,157,Рязань,бухгалтер,350000,нет
Анаева,Юлия,жен,30,157,Рязань,ведущий инженер,900000,нет
Анакина,Анна,жен,23,156,Санкт-Петербург,конструктор,700000,да
Анастасьева,Анастасия,жен,43,169,Мурманск,инженер,35000,да
Анашечев,Андрей,муж,38,168,Казань,руководитель группы,25000,да
Андершанов,Никита,муж,48,185,Москва,конструктор,350000,да
Андреещев,Никита,муж,19,172,Уфа,учитель,350000,да
Андриюца,Анна,жен,34,166,Уфа,инженер,900000,да
Андрияничева,Дарья,жен,28,159,Омск,руководитель группы,60000,да
Андросова,Диана,жен,23,175,Омск,руководитель группы,25000,да
Андрюшков,Михаил,муж,39,166,Омск,ведущий инженер,100000,да
Аникейчева,Евгения,жен,50,173,Казань,ведущий инженер,90000,нет
Анилова,Мария,жен,34,187,Рязань,ведущий инженер,40000,нет
Анисанов,Никита,муж,31,162,Мурманск,конструктор,40000,да
Анистифорова,Марина,жен,59,180,Омск,учитель,350000,да
Аниткина,Анастасия,жен,34,168,Казань,ведущий инженер,250000,да
Аничкова,Диана,жен,35,182,Калининград,бухгалтер,25000,да
Анкидинов,Михаил,муж,28,182,Калининград,конструктор,25000,да
Аносичева,Анна,жен,40,165,Мурманск,ведущий инженер,45000,да
Анофриков,Александр,муж,43,170,Мурманск,конструктор,60000,да
Анпилов,Максим,муж,47,166,Казань,ведущий инженер,400000,да
Антасова,Мария,жен,29,189,Омск,ведущий инженер,50000,да
Анташов,Антон,муж,30,156,Рязань,инженер,45000,да
Антипичев,Максим,муж,48,173,Омск,кондитер,700000,нет
Антомонова,Марина,жен,53,164,Рязань,учитель,30000,да
Антонов,Михаил,муж,32,159,Владимир,кондитер,900000,нет
Антонченкова,Мария,жен,34,158,Санкт-Петербург,бухгалтер,25000,нет
Антронов,Михаил,муж,19,175,Рязань,бухгалтер,500000,нет
Ануфреева,Анна,жен,49,167,Казань,ведущий инженер,700000,да
Анфиловьев,Михаил,муж,40,178,Омск,директор предприятия,400000,да
Аншаев,Антон,муж,57,160,Калининград,кондитер,900000,нет
Апальков,Антон,муж,46,176,Калининград,ведущий инженер,600000,нет
Апевалова,Юлия,жен,59,166,Мурманск,директор предприятия,250000,нет
Апентьева,Кристина,жен,35,162,Уфа,конструктор,800000,да
Апихашкина,Анастасия,жен,25,181,Казань,директор предприятия,50000,да
Аполлосов,Михаил,муж,42,179,Владимир,ведущий инженер,50000,да
Апошкина,Мария,жен,42,165,Санкт-Петербург,руководитель группы,500000,да
Апсамаров,Максим,муж,48,162,Санкт-Петербург,инженер,800000,нет
Арасланова,Марина,жен,52,184,Уфа,бухгалтер,500000,да
Аратова,Дарья,жен,30,179,Омск,руководитель группы,25000,нет
Арвачев,Андрей,муж,19,157,Омск,инженер,500000,да
Аргутина,Дарья,жен,20,187,Владимир,конструктор,350000,да
Ардвеньев,Василий,муж,29,185,Мурманск,директор предприятия,700000,нет
Арева,Анна,жен,52,170,Уфа,учитель,350000,нет
Арефьева,Анастасия,жен,46,157,Рязань,учитель,40000,нет
Аржанова,Мария,жен,28,182,Омск,учитель,300000,да
Арженухина,Анна,жен,46,182,Ачинск,директор предприятия,400000,нет
Арзютова,Дарья,жен,53,173,Рязань,кондитер,25000,нет
Арипов,Максим,муж,59,188,Уфа,руководитель группы,350000,нет
Аристов,Никита,муж,50,174,Москва,бухгалтер,40000,да
Аркашев,Никита,муж,29,163,Мурманск,бухгалтер,80000,да
Арпаутов,Михаил,муж,49,159,Калининград,ведущий инженер,80000,да
Арпаутов,Максим,муж,51,161,Санкт-Петербург,руководитель группы,40000,да
Арсеничев,Максим,муж,45,187,Санкт-Петербург,ведущий инженер,350000,нет
Арсланбеков,Пётр,муж,42,174,Ачинск,директор предприятия,300000,нет
Артаментов,Андрей,муж,34,184,Рязань,конструктор,60000,да
Арташкина,Анна,жен,44,161,Уфа,кондитер,150000,нет
Артемичев,Андрей,муж,57,165,Омск,руководитель группы,90000,нет
Артомкина,Юлия,жен,24,170,Казань,кондитер,300000,да
Артыкбаева,Мария,жен,32,188,Владимир,руководитель группы,300000,да
Артюшов,Никита,муж,54,158,Ачинск,директор предприятия,800000,нет
Аруфулова,Анастасия,жен,37,164,Владимир,инженер,250000,нет
Архинчеев,Максим,муж,18,157,Калининград,кондитер,60000,нет
Архоров,Андрей,муж,38,160,Уфа,кондитер,500000,да
Арцибашова,Евгения,жен,52,168,Казань,конструктор,700000,нет
Арчаков,Василий,муж,21,176,Рязань,директор предприятия,250000,да
Арчугова,Диана,жен,32,179,Владимир,бухгалтер,700000,да
Арютина,Марина,жен,40,174,Рязань,директор предприятия,60000,нет
Асадулина,Мария,жен,24,161,Казань,конструктор,45000,да
Асаскова,Анна,жен,22,165,Ачинск,бухгалтер,700000,нет
Асеев,Александр,муж,21,188,Казань,конструктор,35000,да
Асесорова,Юлия,жен,46,185,Москва,инженер,60000,нет
Аситов,Антон,муж,42,170,Омск,директор предприятия,800000,нет
Аскреткина,Дарья,жен,18,186,Ачинск,инженер,800000,да
Астраханкина,Евгения,жен,38,172,Калининград,инженер,200000,да
Астров,Никита,муж,47,174,Рязань,руководитель группы,900000,да
Асфяндияров,Михаил,муж,38,155,Владимир,руководитель группы,300000,нет
Атабаев,Сергей,муж,42,182,Ачинск,конструктор,800000,нет
Атаманенкова,Марина,жен,39,181,Казань,бухгалтер,50000,нет
Атарова,Дарья,жен,18,157,Калининград,инженер,150000,нет
Атландеров,Пётр,муж,42,189,Владимир,инженер,800000,нет
Атрашков,Максим,муж,23,167,Казань,конструктор,90000,да
Атякина,Анна,жен,33,165,Мурманск,руководитель группы,80000,да
Аушев,Антон,муж,26,155,Уфа,кондитер,30000,да
Афанаьева,Кристина,жен,55,187,Калининград,кондитер,60000,да
Афеногенова,Мария,жен,33,173,Омск,бухгалтер,30000,нет
Афокичева,Кристина,жен,26,159,Омск,руководитель группы,900000,да
Афоненкова,Юлия,жен,34,168,Москва,инженер,150000,нет
Афтахов,Василий,муж,46,159,Москва,учитель,30000,нет
Ахамцева,Ольга,жен,23,169,Москва,руководитель группы,400000,нет
Ахвердьева,Диана,жен,24,155,Калининград,бухгалтер,300000,нет
Ахлестина,Ольга,жен,43,179,Уфа,руководитель группы,800000,да
Ахмадиев,Андрей,муж,30,168,Ачинск,ведущий инженер,45000,нет
Ахманова,Диана,жен,33,167,Москва,директор предприятия,40000,да
Ахмедиева,Анастасия,жен,39,179,Уфа,ведущий инженер,250000,нет
Ахметгалимова,Дарья,жен,33,177,Москва,кондитер,900000,да
Ахмуханов,Пётр,муж,42,188,Москва,конструктор,700000,да
Ахова,Мария,жен,31,175,Ачинск,ведущий инженер,500000,нет
Ахтемова,Юлия,жен,47,172,Казань,кондитер,200000,нет
Ахунзянова,Марина,жен,24,156,Казань,директор предприятия,500000,да
Ачеев,Василий,муж,52,170,Владимир,руководитель группы,800000,нет
Ачичаев,Михаил,муж,37,159,Омск,инженер,200000,нет
Ашарфудинов,Пётр,муж,34,163,Рязань,бухгалтер,70000,да
Аширятова,Анастасия,жен,25,158,Уфа,директор предприятия,900000,да
Ашкалунина,Диана,жен,21,169,Омск,ведущий инженер,40000,нет
Ашумова,Ольга,жен,59,173,Уфа,ведущий инженер,150000,да
Бабамухамедов,Пётр,муж,19,174,Омск,руководитель группы,600000,нет
Бабкина,Евгения,жен,43,160,Мурманск,инженер,400000,да
Баборина,Марина,жен,55,176,Омск,директор предприятия,20000,нет
Бабурин-бельчиков,Андрей,муж,20,173,Уфа,кондитер,25000,нет
Бабчихина,Диана,жен,42,168,Ачинск,конструктор,80000,нет
Багавиев,Андрей,муж,59,164,Москва,инженер,40000,да
Багларов,Александр,муж,51,172,Омск,руководитель группы,250000,нет
Багримов,Василий,муж,20,189,Москва,ведущий инженер,90000,нет
Бадака,Диана,жен,22,165,Владимир,руководитель группы,60000,нет
Бадарина,Диана,жен,56,173,Рязань,учитель,100000,да
Бадиков,Василий,муж,52,160,Уфа,руководитель группы,70000,да
Бадорина,Ольга,жен,43,158,Ачинск,руководитель группы,30000,да
Бадосова,Юлия,жен,41,183,Калининград,бухгалтер,50000,да
Базалиев,Антон,муж,57,162,Казань,учитель,500000,да
Базгалева,Марина,жен,58,167,Рязань,директор предприятия,80000,нет
Базунова,Мария,жен,55,170,Санкт-Петербург,директор предприятия,45000,да
Базыленкова,Анастасия,жен,46,182,Ачинск,учитель,80000,да
Баистов,Александр,муж,19,189,Уфа,директор предприятия,300000,да
Байбородина,Юлия,жен,26,176,Казань,конструктор,20000,нет
Байзулда,Анастасия,жен,53,166,Ачинск,конструктор,500000,нет
Байкова-дзукоева,Кристина,жен,28,188,Уфа,директор предприятия,800000,да
Байнев,Сергей,муж,52,188,Мурманск,директор предприятия,700000,да
Байса,Анастасия,жен,32,169,Уфа,руководитель группы,25000,да
Байтлиева,Ольга,жен,51,188,Омск,инженер,35000,нет
Бакашев,Антон,муж,45,170,Уфа,бухгалтер,70000,да
Баклагова,Анна,жен,36,189,Москва,бухгалтер,50000,да
Баклеев,Антон,муж,32,161,Москва,инженер,50000,нет
Баконенкова,Марина,жен,43,163,Рязань,бухгалтер,900000,нет
Баксеанов,Александр,муж,27,158,Мурманск,кондитер,350000,да
Бакузов,Никита,муж,40,170,Калининград,руководитель группы,40000,нет
Бакштаев,Максим,муж,53,167,Владимир,руководитель группы,250000,да
Балабанников,Андрей,муж,44,163,Мурманск,ведущий инженер,500000,нет
Балаболкина,Анастасия,жен,26,162,Рязань,конструктор,60000,нет
Балабуха,Евгения,жен,38,172,Уфа,инженер,500000,нет
Балакишиев,Пётр,муж,59,176,Владимир,конструктор,200000,нет
Баласов,Василий,муж,44,160,Казань,бухгалтер,45000,да
Балебанова,Анастасия,жен,30,171,Мурманск,директор предприятия,350000,нет
Балелина,Дарья,жен,50,159,Казань,руководитель группы,200000,да
Балмаев,Максим,муж,19,164,Ачинск,кондитер,350000,да
Балокова,Диана,жен,47,169,Уфа,инженер,300000,нет
Балоунова,Ольга,жен,33,185,Мурманск,инженер,20000,да
Балцарова,Марина,жен,38,157,Ачинск,ведущий инженер,45000,нет
Балымова,Ольга,жен,52,188,Казань,кондитер,400000,нет
Балякова,Юлия,жен,30,172,Омск,бухгалтер,600000,да
Баляскина,Евгения,жен,39,181,Санкт-Петербург,инженер,900000,да
Банаева,Анна,жен,28,170,Уфа,кондитер,600000,да
Бандова,Кристина,жен,41,182,Омск,директор предприятия,350000,да
Банкетова,Евгения,жен,34,178,Омск,руководитель группы,800000,да
Барабаненков,Максим,муж,48,158,Санкт-Петербург,конструктор,90000,да
Баракова,Мария,жен,44,171,Москва,ведущий инженер,20000,да
Баранникова,Дарья,жен,19,165,Владимир,конструктор,700000,нет
Барановкина,Ольга,жен,40,189,Казань,конструктор,50000,нет
Баранчикова,Ольга,жен,48,175,Рязань,кондитер,300000,да
Бараулов,Александр,муж,19,187,Ачинск,инженер,400000,да
Барашков,Александр,муж,45,164,Владимир,бухгалтер,70000,да
Барбанягра,Марина,жен,59,157,Санкт-Петербург,руководитель группы,45000,да
Барбашина,Ольга,жен,29,157,Мурманск,директор предприятия,350000,нет
Барвицка,Анастасия,жен,42,155,Омск,ведущий инженер,50000,да
Бардузова,Диана,жен,33,181,Мурманск,директор предприятия,500000,да
Бардыгина,Кристина,жен,22,184,Владимир,бухгалтер,90000,нет
Барехова,Диана,жен,34,180,Омск,директор предприятия,60000,нет
Баржина,Анастасия,жен,27,173,Рязань,кондитер,200000,да
Барзова,Мария,жен,49,165,Москва,ведущий инженер,90000,нет
Баринцева,Ольга,жен,27,156,Калининград,директор предприятия,350000,нет
Барляев,Сергей,муж,28,158,Омск,инженер,70000,нет
Бароев,Антон,муж,50,183,Ачинск,руководитель группы,200000,нет
Баронов,Михаил,муж,49,181,Санкт-Петербург,конструктор,250000,нет
Барсегов,Михаил,муж,59,170,Санкт-Петербург,конструктор,60000,да
Бартова,Мария,жен,58,156,Москва,руководитель группы,800000,нет
Барулев,Никита,муж,26,159,Ачинск,конструктор,300000,да
Бархалова,Юлия,жен,29,161,Казань,учитель,45000,нет
Барчуков,Никита,муж,39,181,Владимир,учитель,30000,да
Барычева,Ольга,жен,19,187,Ачинск,бухгалтер,100000,нет
Басанцова,Анастасия,жен,20,163,Уфа,руководитель группы,35000,нет
Басиев,Василий,муж,21,179,Ачинск,директор предприятия,800000,нет
Баскачева,Анна,жен,52,178,Владимир,конструктор,20000,да
Басмина,Дарья,жен,33,180,Санкт-Петербург,ведущий инженер,45000,да
Бассараба,Кристина,жен,33,164,Казань,руководитель группы,100000,да
Басуматорова,Анастасия,жен,19,164,Омск,конструктор,40000,нет
Батарагина,Ольга,жен,28,161,Ачинск,кондитер,400000,да
Батеев,Никита,муж,35,175,Калининград,учитель,150000,да
Батков,Никита,муж,43,183,Ачинск,руководитель группы,25000,да
Батранов,Максим,муж,49,155,Казань,руководитель группы,800000,нет
Батуев,Александр,муж,59,170,Рязань,учитель,35000,нет
Батшив,Максим,муж,42,161,Владимир,инженер,35000,да
Батырвлиева,Кристина,жен,37,174,Уфа,бухгалтер,50000,нет
Баученкова,Юлия,жен,22,179,Москва,учитель,60000,нет
Бахаева,Марина,жен,46,170,Москва,бухгалтер,900000,нет
Бахмарина,Диана,жен,33,175,Казань,учитель,250000,нет
Бахмутова,Анастасия,жен,47,172,Рязань,бухгалтер,100000,да
Бахорева,Юлия,жен,52,178,Санкт-Петербург,кондитер,50000,да
Бахтаева,Анастасия,жен,55,157,Мурманск,руководитель группы,800000,нет
Бахтинов,Никита,муж,32,175,Мурманск,руководитель группы,35000,да
Бахуленков,Михаил,муж,36,176,Казань,ведущий инженер,600000,нет
Башанина,Марина,жен,50,168,Уфа,руководитель группы,500000,нет
Башаринов,Максим,муж,39,185,Ачинск,инженер,80000,да
Башенов,Василий,муж,22,161,Уфа,ведущий инженер,900000,нет
Башкирова,Кристина,жен,58,156,Уфа,учитель,250000,нет
Башлыкова,Анна,жен,23,162,Санкт-Петербург,бухгалтер,150000,да
Бганцева,Ольга,жен,20,155,Ачинск,бухгалтер,50000,да
Бегиджанов,Сергей,муж,51,167,Рязань,руководитель группы,70000,да
Беглярова,Мария,жен,21,187,Ачинск,конструктор,25000,да
Бедеров,Максим,муж,28,169,Санкт-Петербург,директор предприятия,20000,нет
Бедирова,Дарья,жен,46,176,Омск,руководитель группы,250000,да
Беднина,Мария,жен,22,177,Уфа,инженер,35000,да
Бедренединова,Диана,жен,53,176,Владимир,кондитер,50000,нет
Бедушева,Анастасия,жен,41,172,Казань,бухгалтер,200000,да
Беелов,Андрей,муж,30,167,Омск,конструктор,150000,нет
Безгодков,Никита,муж,37,177,Москва,ведущий инженер,80000,нет
Бездетков,Антон,муж,30,156,Ачинск,руководитель группы,900000,нет
Безженов,Пётр,муж,43,159,Омск,конструктор,700000,нет
Беззубов,Андрей,муж,52,170,Калининград,инженер,150000,да
Безногов,Андрей,муж,22,181,Мурманск,конструктор,900000,да
Безроднов,Александр,муж,50,182,Москва,ведущий инженер,100000,нет
Безсуднова,Марина,жен,20,175,Мурманск,учитель,20000,нет
Безукладнова,Ольга,жен,59,178,Ачинск,инженер,45000,да
Бекзантеев,Сергей,муж,55,185,Рязань,конструктор,40000,да
Беклемышев,Пётр,муж,22,189,Омск,бухгалтер,400000,нет
Бекмухамбетов,Сергей,муж,25,162,Калининград,конструктор,600000,да
Бексянтеева,Анастасия,жен,23,176,Омск,руководитель группы,250000,нет
Бела,Мария,жен,20,189,Омск,учитель,35000,да
Белебашев,Никита,муж,42,182,Калининград,ведущий инженер,90000,да
Белеев,Антон,муж,23,185,Рязань,учитель,200000,да
Беленков,Александр,муж,59,163,Казань,учитель,500000,да
Беленькова,Марина,жен,28,184,Калининград,учитель,100000,нет
Белизина,Дарья,жен,43,163,Рязань,учитель,30000,нет
Белистов,Василий,муж,26,168,Уфа,бухгалтер,80000,нет
Белкова,Диана,жен,29,179,Москва,директор предприятия,50000,нет
Белодедова,Марина,жен,23,156,Санкт-Петербург,кондитер,250000,да
Белоконев,Пётр,муж,18,184,Владимир,директор предприятия,80000,да
Беломызов,Пётр,муж,35,187,Омск,учитель,250000,да
Белопашенцев,Василий,муж,29,185,Омск,учитель,300000,нет
Белосветов,Михаил,муж,18,162,Калининград,учитель,600000,да
Белостудцева,Кристина,жен,25,185,Калининград,кондитер,80000,нет
Белохвостиков,Максим,муж,38,159,Казань,бухгалтер,250000,да
Белугина,Юлия,жен,50,176,Мурманск,руководитель группы,80000,да
Белугова,Ольга,жен,40,171,Санкт-Петербург,ведущий инженер,25000,да
Белышев,Пётр,муж,21,156,Уфа,ведущий инженер,700000,да
Бельдюгина,Мария,жен,22,188,Омск,конструктор,150000,нет
Белялейтдинов,Антон,муж,30,164,Казань,бухгалтер,35000,нет
Беляхина,Юлия,жен,57,161,Москва,бухгалтер,800000,да
Белячков,Андрей,муж,56,179,Рязань,ведущий инженер,700000,да
Бендерскова,Мария,жен,51,161,Ачинск,кондитер,40000,да
Бендюков,Антон,муж,57,179,Казань,инженер,600000,да
Бенюха,Кристина,жен,42,170,Омск,директор предприятия,400000,нет
Бергольцева,Диана,жен,34,161,Санкт-Петербург,кондитер,45000,нет
Берднева,Ольга,жен,42,171,Мурманск,бухгалтер,25000,нет
Беребера,Евгения,жен,20,155,Омск,конструктор,100000,нет
Береда,Дарья,жен,47,183,Уфа,директор предприятия,900000,нет
Березникова,Юлия,жен,56,181,Рязань,руководитель группы,400000,нет
Берендюкова,Евгения,жен,37,156,Омск,инженер,30000,да
Береуцина,Дарья,жен,44,161,Уфа,инженер,80000,да
Берзина,Евгения,жен,27,175,Мурманск,конструктор,300000,да
Берисова,Анна,жен,56,187,Уфа,ведущий инженер,25000,нет
Берменьева,Мария,жен,39,166,Владимир,учитель,800000,нет
Берсенев,Михаил,муж,44,184,Владимир,руководитель группы,150000,нет
