Фамилия,Имя,Пол,Возраст,Рост,Город,Должность,Зарплата,Транспорт
Абулханов,Пётр,муж,47,166,Ачинск,директор предприятия,350000,нет
Абуталипов,Пётр,муж,46,185,Санкт-Петербург,ведущий инженер,35000,нет
Абызгильдина,Диана,жен,21,185,Владимир,учитель,30000,да
Абянов,Михаил,муж,34,155,Омск,ведущий инженер,30000,нет
Авандеев,Никита,муж,59,181,Владимир,директор предприятия,150000,нет
Авдалимова,Анастасия,жен,19,163,Уфа,ведущий инженер,90000,да
Авдонькина,Дарья,жен,54,170,Москва,инженер,25000,нет
Авдюков,Андрей,муж,36,176,Омск,ведущий инженер,150000,нет
Авезова,Евгения,жен,22,161,Владимир,бухгалтер,80000,да
Аверкиева,Юлия,жен,20,166,Омск,кондитер,300000,нет
Аверченков,Василий,муж,29,175,Калининград,бухгалтер,60000,нет
Авивов,Сергей,муж,20,162,Казань,инженер,50000,да
Авранина,Дарья,жен,50,169,Калининград,директор предприятия,100000,нет
Авророва,Евгения,жен,51,183,Владимир,конструктор,30000,да
Авсенев,Максим,муж,37,183,Москва,кондитер,70000,да
Авуров,Сергей,муж,45,155,Ачинск,ведущий инженер,45000,нет
Авшалумов,Василий,муж,28,187,Калининград,ведущий инженер,200000,да
Агавелов,Михаил,муж,47,173,Санкт-Петербург,директор предприятия,35000,нет
Агаев,Максим,муж,40,189,Омск,руководитель группы,300000,нет
Агамалиева,Ольга,жен,44,156,Санкт-Петербург,директор предприятия,35000,да
Аганесова,Дарья,жен,22,187,Казань,директор предприятия,400000,нет
Агапова-колпахчев,Максим,муж,53,164,Омск,конструктор,700000,нет
Агарева,Марина,жен,27,178,Калининград,руководитель группы,150000,да
Агафонов,Пётр,муж,19,160,Москва,учитель,200000,нет
Агаханяна,Диана,жен,21,173,Мурманск,руководитель группы,100000,да
Агейкина,Анна,жен,46,186,Казань,руководитель группы,200000,да
Агеносов,Максим,муж,59,183,Калининград,конструктор,600000,нет
Агизов,Сергей,муж,21,184,Омск,конструктор,150000,да
Агнарханов,Никита,муж,48,161,Мурманск,ведущий инженер,900000,да
Агроманов,Максим,муж,28,181,Мурманск,инженер,900000,да
Агуева,Марина,жен,49,156,Мурманск,учитель,350000,нет
Агурейкина,Анна,жен,24,157,Мурманск,ведущий инженер,50000,нет
Адаев,Антон,муж,36,187,Ачинск,директор предприятия,80000,да
Адаменков,Сергей,муж,24,178,Калининград,бухгалтер,350000,да
Адасова,Кристина,жен,44,177,Омск,ведущий инженер,800000,нет
Адгамов,Никита,муж,37,157,Казань,конструктор,35000,да
Аджарова,Юлия,жен,25,158,Санкт-Петербург,кондитер,90000,нет
Аджиева,Кристина,жен,23,166,Казань,учитель,900000,да
Адиятулина,Ольга,жен,48,177,Казань,учитель,80000,нет
Адова,Анастасия,жен,49,176,Уфа,учитель,50000,нет
Адриянова,Ольга,жен,51,169,Владимир,руководитель группы,400000,нет
Адюкина,Евгения,жен,46,156,Рязань,инженер,100000,да
Ажбугамбетова,Ольга,жен,35,182,Омск,инженер,400000,нет
Ажмаканова,Анна,жен,39,159,Москва,кондитер,350000,нет
Азарников,Александр,муж,36,186,Уфа,конструктор,100000,нет
Азарушина,Кристина,жен,58,162,Владимир,кондитер,20000,нет
Азбукина,Ольга,жен,43,162,Калининград,кондитер,25000,нет
Азжаурова,Кристина,жен,58,155,Владимир,учитель,25000,нет
Азимкова,Марина,жен,19,172,Уфа,директор предприятия,100000,нет
Азопкова,Дарья,жен,58,181,Казань,конструктор,200000,нет
Аиткужина,Юлия,жен,28,185,Казань,руководитель группы,40000,да
Айдуллина,Мария,жен,24,164,Казань,учитель,35000,да
Айзятуллова,Дарья,жен,26,165,Омск,ведущий инженер,90000,нет
Аймальдинова,Юлия,жен,20,161,Ачинск,бухгалтер,250000,нет
Аймолетдинова,Дарья,жен,25,184,Санкт-Петербург,кондитер,35000,да
Айпейдинов,Пётр,муж,24,175,Калининград,учитель,600000,нет
Айтбаева,Юлия,жен,57,165,Ачинск,ведущий инженер,40000,да
Айшетова,Диана,жен,56,181,Калининград,бухгалтер,90000,нет
Акалупина,Дарья,жен,42,183,Калининград,кондитер,150000,да
Акацков,Михаил,муж,31,156,Москва,ведущий инженер,100000,нет
Акентьев,Никита,муж,45,158,Ачинск,кондитер,70000,нет
Акидинова,Евгения,жен,37,181,Калининград,ведущий инженер,800000,нет
Акиндина,Юлия,жен,20,184,Уфа,конструктор,150000,нет
Акинфина,Анна,жен,45,184,Казань,кондитер,90000,да
Акинщиков,Пётр,муж,35,179,Казань,конструктор,20000,нет
Аккуратнова,Ольга,жен,55,177,Уфа,инженер,40000,нет
Аконджанов,Антон,муж,56,164,Мурманск,инженер,20000,да
Аксенина,Марина,жен,50,182,Рязань,ведущий инженер,45000,да
Аксентьев,Антон,муж,19,181,Уфа,директор предприятия,50000,да
Аксенчева,Анна,жен,36,167,Владимир,ведущий инженер,70000,да
Аксютова,Марина,жен,27,167,Омск,руководитель группы,90000,да
Акулишина,Диана,жен,26,176,Калининград,кондитер,25000,да
Акулянца,Диана,жен,57,155,Ачинск,директор предприятия,35000,нет
Акшенцева,Дарья,жен,21,179,Уфа,ведущий инженер,900000,нет
Алабердова,Кристина,жен,29,180,Омск,кондитер,20000,нет
Алаиторуев,Александр,муж,31,160,Калининград,учитель,80000,нет
Алачеев,Антон,муж,35,166,Ачинск,кондитер,100000,да
Албегова,Ольга,жен,27,175,Калининград,конструктор,150000,да
Алдахов,Антон,муж,51,180,Владимир,кондитер,700000,да
Алеева,Кристина,жен,34,164,Владимир,конструктор,30000,да
Алекбер-абдула,Евгения,жен,41,187,Рязань,ведущий инженер,45000,да
Александренков,Сергей,муж,20,168,Санкт-Петербург,учитель,45000,нет
Алексашева,Марина,жен,29,172,Ачинск,директор предприятия,900000,нет
Алемасова,Анна,жен,44,158,Казань,ведущий инженер,100000,да
Аленикова,Марина,жен,45,155,Рязань,кондитер,25000,да
Алехчева,Евгения,жен,58,175,Москва,руководитель группы,300000,да
Алешняа,Диана,жен,35,176,Калининград,кондитер,800000,да
Алибасова,Ольга,жен,32,164,Ачинск,бухгалтер,200000,нет
Алилуева,Юлия,жен,25,172,Мурманск,кондитер,90000,нет
Алимжанов,Сергей,муж,21,187,Москва,инженер,500000,нет
Алинов,Сергей,муж,47,163,Омск,конструктор,800000,да
Алиулина,Евгения,жен,51,188,Москва,кондитер,30000,да
Алиферова,Анастасия,жен,42,176,Владимир,бухгалтер,200000,да
Аличева,Мария,жен,44,179,Владимир,руководитель группы,700000,нет
Аллабердина,Анастасия,жен,22,174,Казань,инженер,500000,нет
Аллавердиев,Василий,муж,32,177,Мурманск,кондитер,40000,да
Аллохина,Евгения,жен,36,164,Санкт-Петербург,конструктор,800000,нет
Алмазов,Михаил,муж,28,172,Санкт-Петербург,ведущий инженер,30000,нет
Алназарова,Мария,жен,57,164,Владимир,учитель,900000,да
Алонцев,Никита,муж,48,164,Владимир,ведущий инженер,200000,нет
Алпысбеков,Сергей,муж,59,172,Мурманск,директор предприятия,300000,нет
Алтайчинова,Юлия,жен,30,167,Москва,руководитель группы,400000,да
Алтухов,Антон,муж,49,179,Рязань,инженер,350000,да
Алфионова,Евгения,жен,24,188,Рязань,инженер,200000,да
Алынов,Сергей,муж,53,165,Рязань,бухгалтер,500000,нет
Альбова,Мария,жен,31,155,Омск,ведущий инженер,500000,да
Альдаров,Александр,муж,41,176,Уфа,кондитер,150000,нет
Альметев,Александр,муж,38,169,Рязань,директор предприятия,700000,нет
Альмухамбетова,Анна,жен,32,189,Владимир,руководитель группы,35000,да
Альтмана,Мария,жен,36,155,Москва,директор предприятия,600000,да
Алябушев,Василий,муж,45,163,Рязань,учитель,70000,да
Алямшина,Анна,жен,43,169,Казань,кондитер,30000,нет
Аляутдинов,Александр,муж,44,177,Рязань,конструктор,80000,да
Аманов,Антон,муж,44,185,Мурманск,директор предприятия,250000,нет
Амелешина,Юлия,жен,55,181,Ачинск,ведущий инженер,500000,нет
Амельянов,Никита,муж,36,176,Мурманск,конструктор,40000,да
Американцев,Никита,муж,22,179,Уфа,учитель,40000,нет
Амилькина,Ольга,жен,39,169,Санкт-Петербург,учитель,350000,да
Амирбекова,Анна,жен,50,177,Санкт-Петербург,учитель,90000,нет
Аммятова,Диана,жен,39,157,Санкт-Петербург,ведущий инженер,20000,да
Амурцев,Никита,муж,19,173,Казань,инженер,40000,да
Амямова,Юлия,жен,26,160,Москва,руководитель группы,300000,нет
Анаников,Андрей,муж,35,181,Калининград,конструктор,350000,да
Ананьин-ярцев,Василий,муж,35,155,Омск,инженер,350000,нет
Анастасьева,Дарья,жен,23,182,Казань,конструктор,900000,да
Анаьев,Антон,муж,18,161,Калининград,инженер,25000,нет
Андержанова,Анастасия,жен,43,160,Калининград,ведущий инженер,30000,да
Андрейцева,Кристина,жен,26,189,Москва,конструктор,25000,нет
Андреяненков,Василий,муж,20,162,Москва,учитель,200000,нет
Андриашкина,Ольга,жен,25,171,Рязань,руководитель группы,40000,нет
Андриков,Василий,муж,28,157,Санкт-Петербург,учитель,60000,нет
Андрова,Евгения,жен,48,173,Ачинск,кондитер,800000,нет
Андронников,Михаил,муж,38,172,Калининград,конструктор,60000,нет
Андрюничев,Антон,муж,44,161,Казань,ведущий инженер,50000,да
Анзимирова,Анна,жен,55,175,Санкт-Петербург,инженер,100000,нет
Аниканов,Никита,муж,19,181,Рязань,ведущий инженер,200000,да
Анисяева,Ольга,жен,47,155,Омск,инженер,30000,да
Анициферова,Евгения,жен,37,180,Омск,кондитер,90000,нет
Анокина,Юлия,жен,44,182,Рязань,конструктор,600000,нет
Аношкова,Кристина,жен,43,165,Владимир,учитель,250000,да
Ансимова,Юлия,жен,52,158,Мурманск,кондитер,35000,да
Анташков,Сергей,муж,19,189,Санкт-Петербург,учитель,60000,нет
Антибжанова,Евгения,жен,26,179,Омск,кондитер,250000,нет
Антипикова,Марина,жен,20,185,Санкт-Петербург,кондитер,350000,нет
Антипочева,Евгения,жен,25,157,Ачинск,директор предприятия,500000,да
Антюфьев,Сергей,муж,52,163,Омск,ведущий инженер,250000,нет
Анурина,Юлия,жен,44,184,Казань,ведущий инженер,900000,нет
Анфилатова,Юлия,жен,27,188,Москва,директор предприятия,600000,да
Анцина,Ольга,жен,38,160,Санкт-Петербург,кондитер,100000,да
Анцыфиров,Максим,муж,19,162,Калининград,руководитель группы,25000,нет
Аншпатова,Дарья,жен,54,155,Омск,инженер,350000,да
Анякова,Анастасия,жен,21,171,Мурманск,конструктор,50000,нет
Апаленова,Евгения,жен,48,181,Уфа,руководитель группы,800000,да
Апаренкова,Дарья,жен,42,181,Омск,директор предприятия,60000,нет
Апарчева,Анна,жен,46,174,Мурманск,директор предприятия,400000,да
Апельцина,Ольга,жен,57,180,Калининград,руководитель группы,700000,нет
Апзигитова,Мария,жен,33,175,Калининград,учитель,600000,да
Аписаров,Андрей,муж,35,169,Рязань,учитель,70000,да
Апорова,Кристина,жен,33,170,Омск,ведущий инженер,25000,нет
Аппаков,Василий,муж,36,168,Казань,кондитер,350000,да
Апрелков,Александр,муж,37,159,Омск,директор предприятия,500000,нет
Апряжкина,Анастасия,жен,55,166,Санкт-Петербург,конструктор,20000,нет
Аптеков,Александр,муж,21,187,Санкт-Петербург,конструктор,250000,да
Аракина,Анастасия,жен,21,169,Владимир,учитель,100000,нет
Аралкина,Диана,жен,25,161,Ачинск,инженер,350000,нет
Аранцева,Дарья,жен,35,165,Владимир,директор предприятия,35000,нет
Арачков,Пётр,муж,50,166,Москва,инженер,300000,да
Арешкова,Марина,жен,33,158,Калининград,руководитель группы,600000,да
Аржанова,Кристина,жен,58,167,Рязань,конструктор,900000,нет
Арзамасцев,Василий,муж,59,178,Казань,бухгалтер,800000,нет
Арибжанова,Юлия,жен,43,178,Мурманск,кондитер,500000,нет
Аринчев,Василий,муж,36,164,Москва,ведущий инженер,90000,да
Арифов,Сергей,муж,34,170,Омск,бухгалтер,100000,да
Арифолов,Антон,муж,32,156,Рязань,учитель,100000,да
Аркадов,Василий,муж,38,161,Мурманск,руководитель группы,500000,да
Арламенков,Никита,муж,53,163,Ачинск,ведущий инженер,300000,нет
Армянова,Мария,жен,50,189,Казань,ведущий инженер,70000,да
Аронина,Мария,жен,54,182,Калининград,конструктор,50000,нет
Арсеенков,Василий,муж,33,156,Мурманск,инженер,50000,нет
Арсонов,Пётр,муж,55,164,Москва,кондитер,45000,нет
Артаков,Михаил,муж,43,180,Калининград,конструктор,100000,нет
Артамцев,Максим,муж,53,159,Рязань,ведущий инженер,150000,да
Артикулова,Анастасия,жен,30,173,Уфа,учитель,100000,нет
Артыков,Сергей,муж,46,163,Москва,кондитер,400000,да
Арфанова,Анна,жен,39,159,Омск,бухгалтер,80000,нет
Архименкова,Анна,жен,52,155,Ачинск,ведущий инженер,350000,нет
Архипчева,Анастасия,жен,47,171,Калининград,бухгалтер,35000,нет
Аршанинов,Андрей,муж,25,161,Владимир,конструктор,20000,нет
Арычков,Михаил,муж,56,188,Рязань,инженер,100000,нет
Асаченков,Андрей,муж,30,185,Казань,конструктор,500000,да
Асесорова,Кристина,жен,45,171,Калининград,ведущий инженер,600000,да
Асимов,Василий,муж,31,183,Казань,инженер,20000,да
Асков,Михаил,муж,57,175,Казань,учитель,900000,да
Аслудинова,Анастасия,жен,21,170,Санкт-Петербург,конструктор,300000,нет
Асташева,Кристина,жен,32,174,Уфа,директор предприятия,350000,нет
Астраханкина,Ольга,жен,46,169,Уфа,бухгалтер,500000,нет
Аськов,Сергей,муж,32,179,Казань,конструктор,100000,нет
Ата-мурадова,Анна,жен,45,174,Уфа,инженер,20000,нет
Атаказов,Александр,муж,41,188,Казань,директор предприятия,250000,нет
Атаринова,Кристина,жен,30,174,Уфа,конструктор,80000,нет
Атенкова,Анна,жен,51,182,Ачинск,конструктор,700000,нет
Атласова,Ольга,жен,42,157,Уфа,бухгалтер,350000,нет
Атнашев,Пётр,муж,44,189,Москва,инженер,600000,да
Атоева,Анна,жен,49,163,Калининград,руководитель группы,900000,нет
Атращенкова,Анна,жен,24,187,Владимир,директор предприятия,40000,да
Атряшкина,Дарья,жен,25,176,Казань,директор предприятия,45000,да
Аушников,Михаил,муж,39,184,Рязань,учитель,900000,да
Афлятонов,Василий,муж,50,163,Калининград,ведущий инженер,50000,да
Афонусова,Евгения,жен,23,158,Ачинск,инженер,25000,нет
Афонченкова,Дарья,жен,46,186,Калининград,руководитель группы,45000,да
Афроимова,Анна,жен,51,175,Рязань,бухгалтер,70000,нет
Ахалшенова,Марина,жен,40,181,Казань,директор предприятия,100000,да
Ахвердиева,Юлия,жен,43,188,Мурманск,ведущий инженер,250000,да
Ахинов,Андрей,муж,43,177,Мурманск,бухгалтер,30000,да
Ахмадеева,Анастасия,жен,34,167,Омск,ведущий инженер,350000,нет
Ахмазов,Александр,муж,38,163,Москва,бухгалтер,40000,нет
Ахмедуев,Пётр,муж,36,178,Казань,кондитер,250000,да
Ахметджанова,Дарья,жен,37,184,Москва,директор предприятия,700000,да
Ахмтжанов,Сергей,муж,43,164,Омск,конструктор,25000,да
Ахнина,Юлия,жен,53,160,Уфа,кондитер,500000,да
Ахряпов,Василий,муж,38,180,Калининград,инженер,100000,да
Ахтариева,Анна,жен,50,164,Омск,бухгалтер,25000,да
Ахулков,Александр,муж,35,184,Москва,бухгалтер,400000,да
Ачкина,Анна,жен,46,161,Уфа,ведущий инженер,350000,нет
Ашарина,Ольга,жен,46,163,Рязань,руководитель группы,80000,нет
Ашеров,Антон,муж,57,173,Калининград,инженер,30000,да
Ашиткова,Юлия,жен,54,188,Санкт-Петербург,директор предприятия,35000,нет
Ашпина,Кристина,жен,59,177,Москва,директор предприятия,200000,нет
Ашрафутдинов,Михаил,муж,46,166,Калининград,учитель,45000,да
Ащанов,Василий,муж,30,167,Мурманск,конструктор,60000,нет
Аюнов,Сергей,муж,47,176,Мурманск,ведущий инженер,400000,нет
Бабаднов,Никита,муж,42,178,Ачинск,руководитель группы,600000,нет
Бабанина,Ольга,жен,57,164,Ачинск,руководитель группы,80000,нет
Бабарсков,Михаил,муж,21,157,Омск,учитель,70000,да
Бабасова,Дарья,жен,20,174,Мурманск,директор предприятия,25000,да
Бабеева,Анастасия,жен,28,187,Мурманск,ведущий инженер,300000,нет
Бабижаева,Кристина,жен,33,173,Ачинск,учитель,90000,да
Бабишев,Василий,муж,44,181,Рязань,конструктор,50000,нет
Бабмурова,Мария,жен,41,160,Рязань,бухгалтер,25000,да
Бабуров,Михаил,муж,33,169,Ачинск,директор предприятия,600000,да
Бабченкова,Кристина,жен,42,176,Владимир,учитель,350000,да
Баганова,Дарья,жен,53,164,Владимир,инженер,90000,нет
Багашова,Кристина,жен,30,184,Уфа,директор предприятия,25000,нет
Багданова,Анастасия,жен,21,170,Мурманск,бухгалтер,250000,нет
Багкалова,Евгения,жен,48,175,Владимир,бухгалтер,900000,да
Багнюков,Василий,муж,36,176,Москва,бухгалтер,40000,да
Бадеев,Пётр,муж,34,166,Рязань,директор предприятия,800000,да
Бадмаева,Мария,жен,25,185,Калининград,бухгалтер,35000,нет
Бадуева,Анастасия,жен,22,170,Омск,руководитель группы,350000,да
Бажакина,Мария,жен,20,181,Владимир,бухгалтер,60000,нет
Бажанова-лебедева,Мария,жен,34,179,Уфа,руководитель группы,35000,нет
Базалев,Максим,муж,45,186,Мурманск,ведущий инженер,90000,нет
Базарнова,Дарья,жен,37,185,Санкт-Петербург,бухгалтер,700000,да
Баздарова,Дарья,жен,53,165,Ачинск,руководитель группы,90000,да
Базенкова,Ольга,жен,37,172,Омск,конструктор,100000,нет
Базилев,Пётр,муж,19,157,Калининград,кондитер,45000,да
Базлыгина,Диана,жен,39,180,Уфа,кондитер,50000,да
Базыкова,Мария,жен,52,178,Калининград,учитель,100000,нет
Байборода,Юлия,жен,31,184,Омск,конструктор,600000,нет
Байгушев,Пётр,муж,24,166,Калининград,руководитель группы,90000,да
Байдарова,Дарья,жен,35,184,Рязань,кондитер,250000,да
Байдикова,Юлия,жен,59,161,Мурманск,учитель,800000,нет
Байзеров,Пётр,муж,19,185,Санкт-Петербург,ведущий инженер,70000,нет
Баймешев,Сергей,муж,35,166,Мурманск,инженер,70000,да
Байраков,Сергей,муж,51,161,Москва,конструктор,50000,да
Байсурина,Анастасия,жен,26,167,Санкт-Петербург,директор предприятия,35000,нет
Бака,Юлия,жен,55,174,Ачинск,руководитель группы,30000,да
Бакатина,Евгения,жен,58,177,Санкт-Петербург,руководитель группы,350000,нет
Бакаютова,Кристина,жен,33,165,Санкт-Петербург,директор предприятия,800000,нет
Бакренев,Андрей,муж,42,155,Москва,кондитер,35000,нет
Бактова,Мария,жен,37,167,Рязань,инженер,400000,нет
Бакуличева,Ольга,жен,53,188,Москва,конструктор,60000,да
Бакунина,Диана,жен,41,177,Владимир,конструктор,400000,да
Бакута,Марина,жен,33,187,Ачинск,кондитер,200000,да
Бакштаева,Кристина,жен,53,164,Москва,ведущий инженер,40000,да
Балабанникова,Диана,жен,34,182,Ачинск,кондитер,500000,да
Балагушкина,Юлия,жен,19,168,Мурманск,инженер,60000,нет
Балакерев,Максим,муж,49,178,Ачинск,бухгалтер,500000,нет
Баласюкова,Дарья,жен,37,155,Мурманск,конструктор,90000,да
Балачевцев,Михаил,муж,44,164,Санкт-Петербург,учитель,60000,да
Балеев,Никита,муж,55,157,Калининград,инженер,200000,да
Балекеева,Кристина,жен,21,177,Уфа,руководитель группы,500000,да
Балина,Юлия,жен,46,171,Москва,руководитель группы,25000,да
Баличева,Мария,жен,47,155,Уфа,бухгалтер,800000,нет
Баллаева,Кристина,жен,56,163,Санкт-Петербург,учитель,60000,нет
Балмасова,Марина,жен,23,186,Санкт-Петербург,директор предприятия,500000,да
Баловинова,Марина,жен,42,168,Москва,директор предприятия,30000,нет
Балтенков,Антон,муж,50,170,Москва,учитель,25000,да
Балуда,Дарья,жен,19,157,Владимир,инженер,500000,да
Балханова,Дарья,жен,18,168,Калининград,инженер,90000,нет
Балычев,Пётр,муж,59,166,Москва,инженер,35000,да
Бамзура,Ольга,жен,38,158,Калининград,директор предприятия,250000,нет
Бангула,Дарья,жен,20,185,Ачинск,учитель,300000,нет
Бандурина,Евгения,жен,32,176,Казань,конструктор,70000,да
Банзакова,Юлия,жен,47,181,Москва,руководитель группы,600000,да
Банчикова,Дарья,жен,41,172,Мурманск,инженер,30000,да
Баработкина,Дарья,жен,55,171,Калининград,ведущий инженер,50000,нет
Баранина,Ольга,жен,29,161,Санкт-Петербург,бухгалтер,70000,да
Барановкина,Мария,жен,34,171,Москва,кондитер,400000,нет
Барафостов,Андрей,муж,29,172,Казань,руководитель группы,400000,да
Барашнев,Сергей,муж,24,160,Владимир,руководитель группы,60000,да
Барбатова,Марина,жен,52,189,Калининград,ведущий инженер,70000,нет
Барбекова,Евгения,жен,22,188,Уфа,инженер,70000,нет
Бардычева,Анастасия,жен,59,162,Омск,конструктор,350000,да
Бардышева,Анастасия,жен,31,159,Владимир,директор предприятия,800000,да
Баренцев,Андрей,муж,36,162,Мурманск,бухгалтер,400000,да
Барзунов,Антон,муж,56,157,Калининград,инженер,700000,нет
Баркакова,Мария,жен,36,185,Уфа,кондитер,70000,нет
Баркеев,Михаил,муж,53,176,Санкт-Петербург,конструктор,350000,да
Барлов,Антон,муж,38,188,Рязань,бухгалтер,800000,да
Бармусов,Василий,муж,53,173,Уфа,ведущий инженер,80000,да
Бармянцева,Кристина,жен,38,183,Омск,ведущий инженер,350000,да
Баромова,Мария,жен,58,169,Омск,конструктор,500000,нет
Барсанова,Марина,жен,21,158,Санкт-Петербург,ведущий инженер,50000,да
Барташева,Кристина,жен,51,167,Санкт-Петербург,конструктор,800000,нет
Бартенева,Евгения,жен,26,179,Мурманск,конструктор,200000,нет
Бартоломеева,Анастасия,жен,37,173,Омск,инженер,30000,нет
Барханова,Мария,жен,42,187,Уфа,бухгалтер,30000,нет
Барчугова,Юлия,жен,57,185,Санкт-Петербург,бухгалтер,900000,да
Барышнева,Кристина,жен,55,160,Москва,конструктор,350000,нет
Басалаев,Максим,муж,50,171,Ачинск,ведущий инженер,150000,нет
Басанина,Ольга,жен,51,189,Калининград,кондитер,900000,нет
Басерова,Евгения,жен,59,176,Казань,бухгалтер,80000,нет
Баслерова,Дарья,жен,32,155,Мурманск,директор предприятия,25000,нет
Басханов,Максим,муж,38,159,Рязань,учитель,20000,да
Баталов,Пётр,муж,49,181,Омск,инженер,25000,да
Батвинкина,Анастасия,жен,51,172,Уфа,бухгалтер,60000,нет
Батков,Сергей,муж,48,158,Мурманск,руководитель группы,400000,нет
Батрева,Дарья,жен,48,174,Казань,кондитер,100000,да
Батулова,Диана,жен,47,175,Уфа,руководитель группы,45000,да
Батшева,Ольга,жен,53,183,Уфа,бухгалтер,350000,да
Батюшков,Максим,муж,22,176,Владимир,учитель,500000,да
Баукина,Анна,жен,51,187,Москва,директор предприятия,50000,нет
Бахилина,Диана,жен,53,161,Рязань,учитель,60000,нет
Бахматов,Василий,муж,47,177,Ачинск,кондитер,70000,нет
Бахолдина,Анастасия,жен,34,180,Москва,директор предприятия,100000,да
Бахтоярова,Диана,жен,33,180,Калининград,директор предприятия,800000,нет
Бахчиева,Марина,жен,18,182,Владимир,директор предприятия,150000,да
Бачарникова,Мария,жен,20,161,Санкт-Петербург,учитель,300000,нет
Бачериков,Андрей,муж,40,160,Уфа,ведущий инженер,20000,да
Бачуров,Александр,муж,37,176,Омск,директор предприятия,200000,да
Башанкаев,Никита,муж,58,160,Калининград,руководитель группы,400000,нет
Башиков,Андрей,муж,28,185,Калининград,учитель,400000,да
Баширов,Антон,муж,45,170,Ачинск,ведущий инженер,700000,нет
Башкирев,Василий,муж,53,166,Уфа,руководитель группы,150000,да
Башляева,Евгения,жен,19,166,Санкт-Петербург,директор предприятия,300000,нет
Баштанников,Пётр,муж,36,189,Владимир,кондитер,40000,да
Баюрова,Ольга,жен,38,169,Москва,ведущий инженер,200000,нет
Бегжанов,Сергей,муж,22,163,Рязань,учитель,600000,да
Беглова,Евгения,жен,42,179,Уфа,конструктор,20000,да
Бедаков,Василий,муж,29,184,Ачинск,руководитель группы,100000,да
Бедняшева,Дарья,жен,33,189,Казань,конструктор,60000,да
Бедреддинов,Антон,муж,39,179,Калининград,ведущий инженер,20000,да
Бедритдинова,Евгения,жен,57,166,Уфа,руководитель группы,250000,нет
Бедяртдинов,Михаил,муж,22,161,Владимир,бухгалтер,350000,да
Безбородкина,Кристина,жен,40,168,Ачинск,руководитель группы,25000,да
Безгодкова,Анна,жен,38,162,Владимир,директор предприятия,500000,нет
Беззванова,Анна,жен,29,167,Ачинск,конструктор,45000,да
Беззубцева,Анастасия,жен,43,156,Санкт-Петербург,директор предприятия,350000,нет
Безножкина,Мария,жен,26,181,Калининград,ведущий инженер,700000,нет
Безрукавникова,Диана,жен,30,178,Москва,конструктор,90000,нет
Безрукова-семенова,Анастасия,жен,34,165,Ачинск,руководитель группы,350000,нет
Бейдулаев,Сергей,муж,32,181,Владимир,кондитер,60000,да
Бекалдиева,Анастасия,жен,40,159,Ачинск,кондитер,50000,нет
Бекимирова,Ольга,жен,20,156,Владимир,ведущий инженер,50000,нет
Бекинеев,Михаил,муж,56,162,Омск,ведущий инженер,700000,нет
Бекмурзова,Кристина,жен,24,159,Калининград,руководитель группы,900000,да
Бектемирова,Кристина,жен,39,174,Санкт-Петербург,инженер,50000,да
Бекушева,Дарья,жен,20,162,Рязань,инженер,50000,нет
Белахова,Анна,жен,30,180,Владимир,учитель,50000,да
